,feature,coef
628,blurb__benefit,-0.28247138351943313
629,blurb__benefits,-0.35542674461816104
630,blurb__ber,0.5409327661288701
631,blurb__berlin,0.6509893180675655
632,blurb__bespoke,-0.22217414118948398
633,blurb__best,0.1600405284417263
634,blurb__bestselling,2.0080234417355474
635,blurb__betrayal,-0.2982741515378629
636,blurb__better,-0.0674270040928652
637,blurb__beverage,-0.5577037989449255
638,blurb__beverages,0.053799560675741015
639,blurb__bi,0.03539525569651941
640,blurb__bible,-0.6981343999739024
641,blurb__biblical,0.412804749414943
642,blurb__bicycle,0.2959759832895066
643,blurb__big,0.23815176257635112
644,blurb__bigfoot,-0.5157947841798849
645,blurb__bigger,0.687982165688825
646,blurb__biggest,0.8589962684507634
647,blurb__bike,0.5894652059113691
648,blurb__bikes,0.007829299968304624
649,blurb__bilingual,0.7930203186573537
650,blurb__bills,0.1323707555432961
651,blurb__billy,0.25256159712093906
652,blurb__bio,-0.41779064498212204
653,blurb__biodegradable,0.027773317489983372
654,blurb__biography,0.017078606423480053
655,blurb__bird,0.06978773191298365
656,blurb__birds,0.4676031595317011
657,blurb__birth,0.6455937191311828
658,blurb__birthday,0.03726829665383633
659,blurb__bit,0.31914884225431156
660,blurb__bite,-0.07451900583474645
661,blurb__bits,0.5918142656185764
662,blurb__bizarre,0.5625999744868246
663,blurb__black,0.07326812300289258
664,blurb__blade,0.66566704796052
665,blurb__blanket,0.5638651664571812
666,blurb__blast,0.037314102115255245
667,blurb__blend,0.04693189657669714
668,blurb__blending,0.08156517043083354
669,blurb__blends,0.4211824558367846
670,blurb__blind,0.1956054360375061
671,blurb__block,-0.22488223416034575
672,blurb__blocking,0.428180383090527
673,blurb__blocks,0.2608746729460357
674,blurb__blog,-1.262951577940714
675,blurb__blood,0.29536728589716843
676,blurb__bloody,0.5396979279875989
677,blurb__blow,0.04150408802390505
678,blurb__blue,0.375457787321861
679,blurb__bluegrass,0.4969851692974247
680,blurb__blues,-0.33410232249485994
681,blurb__bluetooth,0.5934597458907581
682,blurb__board,-0.2163793136414105
683,blurb__boardgame,0.449588366672176
684,blurb__boardgames,-0.298501084169071
685,blurb__boards,-0.25535832551794807
686,blurb__boat,-0.31097915309425633
687,blurb__bob,-0.022058090414014117
688,blurb__bodies,1.2858299212316289
689,blurb__body,0.5405014029469296
690,blurb__bold,0.8544602871822461
691,blurb__bond,0.777000247399568
692,blurb__bone,0.1862889741409949
693,blurb__bones,0.14517423272134602
694,blurb__bonus,0.6435638950478653
695,blurb__book,0.7044644108909284
696,blurb__booklet,0.43533083657681293
697,blurb__books,-0.1939138525530762
698,blurb__boost,0.1749599921445268
699,blurb__boots,0.46593181635664277
700,blurb__border,0.4547473670468831
701,blurb__borg,0.4940187585063226
702,blurb__boring,-0.6642071489900173
703,blurb__born,0.010561025121326369
704,blurb__boss,0.023007981785814494
